city,date,fare,ride_id
Karenberg,2019-04-29 20:54,28.41,9052850000000
South Phillip,2019-02-09 16:46,7.89,3203190000000
North Madeline,2019-04-05 18:23,29.69,240703000000
New Kimberlyborough,2019-05-01 13:56,22.59,9250930000000
South Jack,2019-04-24 19:33,38.04,2197990000000
Erikaland,2019-03-11 2:19,27.39,132014000000
New Paulville,2019-03-27 2:18,7.29,7046760000000
Hurleymouth,2019-03-26 20:22,41.15,4707260000000
Liumouth,2019-04-12 3:38,43.34,7857230000000
Deanville,2019-05-01 21:53,8.28,592955000000
Karenside,2019-04-02 19:22,41.93,4093610000000
West Angela,2019-01-30 18:08,19.13,2078140000000
Liumouth,2019-02-01 20:17,24.81,5470070000000
Jerryton,2019-03-27 12:48,13.29,8959840000000
South Phillip,2019-05-04 9:10,28.3,8696570000000
Port Johnbury,2019-04-27 16:22,25.67,2746330000000
Raymondhaven,2019-02-08 23:57,5.7,3930030000000
Port David,2019-03-07 18:37,42.04,9905960000000
Robertport,2019-03-06 9:51,6.73,9679760000000
Loganberg,2019-03-16 11:46,23.99,9492900000000
Karenside,2019-04-19 10:17,36.01,1322740000000
Lake Jonathanshire,2019-03-09 23:45,19.89,2389500000000
Pattyland,2019-01-30 12:35,8.57,4688890000000
West Robert,2019-04-13 6:56,32.94,9603610000000
Justinberg,2019-04-12 5:27,17.03,8374760000000
West Josephberg,2019-02-09 14:07,4.42,8303790000000
North Markport,2019-01-21 11:49,27.68,4556760000000
Williamsview,2019-01-09 15:24,44.46,2195530000000
Raymondhaven,2019-02-01 5:51,13.86,8721050000000
South Latoya,2019-02-12 16:32,30.22,7388420000000
Deanville,2019-03-29 4:07,5.32,2612670000000
Amandaburgh,2019-03-05 2:15,26.28,906851000000
Jerryton,2019-01-27 14:46,29.08,6160530000000
Deanville,2019-03-24 0:26,30.55,5276110000000
West Anthony,2019-01-23 12:32,23.24,596601000000
West Anthony,2019-02-24 6:14,39.2,8491410000000
West Heidi,2019-03-30 10:46,22.41,1711350000000
Royland,2019-01-01 3:46,7.57,5815380000000
South Latoya,2019-03-02 6:06,10.35,338289000000
Johnton,2019-01-08 17:33,43.75,195319000000
West Angela,2019-01-30 18:46,32.31,7288680000000
Rodneyfort,2019-01-08 0:29,29.4,1184250000000
Royland,2019-01-02 20:08,10.19,668201000000
New Paulville,2019-01-31 5:32,20.8,1092840000000
Huntermouth,2019-04-09 20:23,35.11,3005610000000
New Paulville,2019-01-30 15:21,7.02,8504960000000
Justinberg,2019-05-03 2:49,36.06,929542000000
Port Angela,2019-03-31 15:22,30.77,662264000000
Port Angela,2019-04-09 14:34,11.9,7009810000000
Christopherfurt,2019-01-05 22:21,33.51,1901030000000
South Michelleport,2019-04-22 3:15,43.62,4663610000000
Williamsstad,2019-02-13 20:07,33.72,3796710000000
Lake Jonathanshire,2019-04-07 18:09,24.28,7796810000000
Robertport,2019-03-20 19:11,20.21,9630920000000
Port Angela,2019-02-08 16:30,30.38,5165540000000
Barajasview,2019-02-08 18:07,24.49,2612170000000
South Evanton,2019-01-24 7:08,17.83,2996660000000
Lake Danielberg,2019-02-13 11:01,43.96,100024000000
Royland,2019-04-19 0:05,25.4,9847760000000
Rodneyfort,2019-02-08 7:35,30.02,2497020000000
East Kaylahaven,2019-01-17 10:15,40.82,6342490000000
West Christopherberg,2019-01-17 14:30,9.04,5154850000000
New Jacobville,2019-01-15 15:27,27.24,3812960000000
Lake Jonathanshire,2019-01-02 14:14,13.89,424255000000
Port Samanthamouth,2019-04-25 9:50,25.5,1169130000000
West Heidi,2019-03-26 9:45,22.33,826311000000
Karenside,2019-04-14 5:11,13.13,3659610000000
Valentineton,2019-02-01 14:11,9.68,2132100000000
Raymondhaven,2019-02-23 11:13,4.24,294151000000
Carriemouth,2019-03-11 21:35,16.78,1519390000000
West Josephberg,2019-01-16 16:17,7.04,2507080000000
Port Samanthamouth,2019-03-01 8:58,43.25,1389180000000
Karenberg,2019-03-30 11:38,24.64,4539330000000
New Paulton,2019-03-10 1:07,28,1067160000000
Joneschester,2019-02-07 18:36,6.34,2605460000000
North Jasmine,2019-02-08 19:03,4.86,1276630000000
Valentineton,2019-02-27 0:40,25.4,6152360000000
New Paulton,2019-02-20 16:59,24.29,7738130000000
South Evanton,2019-04-28 8:15,22.86,7585360000000
North Jasmine,2019-01-22 17:25,31.68,712302000000
West Anthony,2019-03-17 0:30,35.42,4561320000000
Jerryton,2019-04-29 2:49,41.27,902958000000
Grahamburgh,2019-01-09 7:00,13.55,5462600000000
South Jack,2019-03-30 20:21,4.2,4817670000000
West Christopherberg,2019-01-23 21:23,30.93,5335680000000
Lake Scottton,2019-03-26 0:49,9.79,1827900000000
West Patrickchester,2019-01-14 1:15,24.82,5934940000000
Royland,2019-01-17 14:08,27.92,3147270000000
South Karenland,2019-02-14 14:00,39.53,2861640000000
Erikaland,2019-03-27 13:11,36.52,2195950000000
Rodneyfort,2019-03-20 10:40,42.57,6354950000000
Williamsstad,2019-05-01 1:26,26.81,4542950000000
Richardfort,2019-02-13 12:46,14,910050000000
West Ericstad,2019-01-25 12:29,20.03,3276480000000
Grahamburgh,2019-03-05 5:39,4.33,803729000000
North Barbara,2019-05-04 2:33,24.09,9275090000000
West Robert,2019-01-04 6:10,35.35,9554290000000
Justinberg,2019-03-14 10:46,36.32,6771690000000
South Michelleport,2019-03-03 16:13,41.62,2339780000000
North Jasmine,2019-02-22 1:56,25.33,1319970000000
Barajasview,2019-03-01 11:06,28.25,7225830000000
Carriemouth,2019-04-04 13:22,12.91,4276690000000
Amandaburgh,2019-02-24 23:10,43.66,6573820000000
Johnton,2019-03-27 0:10,18.89,3634070000000
Port Angela,2019-03-04 3:26,40.35,4930810000000
Rodneyfort,2019-05-06 22:21,27.16,3765500000000
Amandaburgh,2019-02-10 20:42,36.17,6455620000000
North Madeline,2019-02-25 4:32,13.58,4932840000000
West Angela,2019-03-01 11:13,30.3,9673530000000
Joneschester,2019-01-03 5:45,25.47,5540180000000
Joneschester,2019-01-03 1:03,17.97,5439310000000
South Phillip,2019-01-29 11:26,35.23,7418230000000
Liumouth,2019-03-30 3:13,4.66,3164440000000
West Anthony,2019-01-10 2:31,32.34,1479320000000
North Jason,2019-02-26 11:57,13.88,2494980000000
North Jason,2019-03-21 9:45,10.42,6601540000000
Carriemouth,2019-04-28 14:28,11.46,6991850000000
Huntermouth,2019-05-04 15:20,36.77,7186620000000
South Phillip,2019-04-18 6:03,39.95,9719020000000
South Jack,2019-02-01 22:32,28.37,3372010000000
Port Johnbury,2019-05-05 6:26,25.3,2541020000000
South Phillip,2019-05-06 5:05,43.43,2435200000000
North Jasmine,2019-04-10 11:45,38.24,2955000000000
South Michelleport,2019-01-27 19:38,15.45,7465260000000
North Madeline,2019-04-07 8:54,32.99,1819350000000
Christopherfurt,2019-02-24 2:56,40.33,9584190000000
Williamsstad,2019-02-23 17:42,4.68,9109970000000
Martinezhaven,2019-04-18 1:40,34.7,2023090000000
Simpsonburgh,2019-04-03 8:47,4.74,8556330000000
New Jacobville,2019-02-04 4:57,27.63,4329150000000
South Karenland,2019-02-12 3:42,5.78,8890440000000
Royland,2019-01-27 1:01,24.56,9656710000000
Karenside,2019-01-22 13:11,24.72,5326730000000
West Robert,2019-05-05 5:18,10.15,9392180000000
Port Samanthamouth,2019-04-27 8:48,12.84,5659910000000
West Samuelburgh,2019-03-07 1:51,14.55,7160360000000
New Kimberlyborough,2019-03-29 20:35,42.51,8296940000000
Port David,2019-03-27 11:56,15.64,5338480000000
Karenside,2019-03-18 12:48,36.96,7605140000000
New Paulton,2019-02-08 17:11,39.65,8505960000000
West Ericstad,2019-01-08 9:03,32.99,6688340000000
Port Johnbury,2019-03-21 2:20,32.8,5450930000000
Port Samanthamouth,2019-03-27 0:31,16.05,1412280000000
Port Frank,2019-01-08 23:51,42.13,2099160000000
Lake Jonathanshire,2019-04-06 11:30,16.84,6164450000000
West Angela,2019-02-05 18:53,36.37,7832430000000
Port Samanthamouth,2019-03-27 1:08,21.46,9991540000000
North Madeline,2019-03-04 17:20,21.38,9544490000000
Williamsview,2019-01-15 0:10,44.33,4627030000000
Grahamburgh,2019-02-21 6:55,22.65,816396000000
South Evanton,2019-03-06 3:56,30.87,5811920000000
Loganberg,2019-03-27 13:32,4.72,6120690000000
Carriemouth,2019-02-21 16:38,44.18,4528590000000
Port David,2019-01-02 11:51,7.45,6148350000000
West Heidi,2019-01-30 12:59,30.84,8936560000000
Williamsstad,2019-03-05 2:33,25.02,1313210000000
North Barbara,2019-02-04 8:12,42.59,4971250000000
Lake Danielberg,2019-03-17 19:23,10.18,4714400000000
North Markport,2019-04-13 7:37,20.09,4311210000000
Port Angela,2019-05-02 4:14,35.76,7945960000000
Port Samanthamouth,2019-03-15 15:08,25.97,7725960000000
West Angela,2019-05-03 9:04,24.07,7808190000000
Leahton,2019-02-21 20:37,24.13,6759670000000
North Markport,2019-04-28 4:34,40.46,2567890000000
Karenside,2019-03-09 3:50,40.86,1757540000000
Jerryton,2019-01-07 12:05,7.86,707330000000
South Michelleport,2019-04-14 1:20,37.93,1533270000000
Valentineton,2019-03-25 20:45,22.53,2335050000000
East Kaylahaven,2019-04-09 16:57,10.03,8036810000000
Erikaland,2019-04-13 12:26,25.22,4847170000000
West Christopherberg,2019-01-08 8:25,37.78,8767060000000
Pattyland,2019-02-01 22:43,32.03,2850240000000
Deanville,2019-02-08 23:33,21.22,4786810000000
West Christopherberg,2019-03-21 0:14,43.87,5085480000000
Justinberg,2019-03-23 6:28,30.58,3503300000000
Lake Danielberg,2019-02-24 19:34,34.82,2442270000000
Port Samanthamouth,2019-01-30 1:19,38.78,6119830000000
Lake Danielberg,2019-02-28 15:08,44.96,6319590000000
Deanville,2019-04-15 1:36,24.3,1065300000000
Pattyland,2019-02-15 15:13,44.03,1556660000000
Karenside,2019-01-27 8:52,7.65,473230000000
Port Angela,2019-04-22 16:43,7.91,6767310000000
West Angela,2019-04-14 18:40,32.77,4995730000000
South Karenland,2019-03-26 6:12,35.5,1482390000000
New Jacobville,2019-02-18 21:09,39.97,8028700000000
Roberthaven,2019-03-14 16:12,36.84,4123410000000
Lake Scottton,2019-04-24 11:54,5.31,9668340000000
Amandaburgh,2019-01-11 2:22,29.24,7279900000000
Reynoldsfurt,2019-05-05 17:38,14.95,1404730000000
West Patrickchester,2019-02-09 5:54,16.1,9112330000000
Christopherfurt,2019-04-13 8:29,37.22,3288050000000
South Evanton,2019-04-27 0:58,27.78,9377580000000
Lake Scottton,2019-02-07 5:08,10.76,4201250000000
Roberthaven,2019-03-14 15:24,35.27,4034560000000
Rodneyfort,2019-03-04 15:13,28.69,275698000000
West Josephberg,2019-02-17 6:28,41.49,2821330000000
Lake Jonathanshire,2019-03-21 0:18,37.95,8353660000000
Simpsonburgh,2019-02-05 16:02,25.58,2038700000000
West Heidi,2019-03-19 3:15,5.65,2474790000000
North Barbara,2019-03-23 20:59,23.76,5550270000000
North Jasmine,2019-03-11 21:03,37.93,4221380000000
West Gabriel,2019-04-29 1:22,36.7,4103500000000
Liumouth,2019-04-14 6:43,31.63,6166290000000
Carriemouth,2019-03-02 15:40,28.04,5138540000000
West Robert,2019-03-24 15:21,34.9,9472330000000
North Jasmine,2019-05-02 10:24,29.86,3198990000000
Carriemouth,2019-03-21 15:40,44.64,9560840000000
Lake Scottton,2019-02-15 6:49,22.75,8382040000000
North Madeline,2019-04-12 13:57,7.77,9273340000000
Lake Danielberg,2019-01-07 9:41,17.39,4355540000000
North Madeline,2019-04-30 16:02,37.48,2508130000000
Port David,2019-01-07 20:03,20.49,5846260000000
Royland,2019-02-11 3:46,30.41,7200100000000
West Samuelburgh,2019-02-20 1:05,19.65,6623790000000
West Angela,2019-03-18 12:08,34.05,5332410000000
West Patrickchester,2019-03-06 4:19,32.37,3684670000000
Port Frank,2019-02-05 10:34,20.1,4443070000000
New Kimberlyborough,2019-02-09 5:48,39.55,6010050000000
Justinberg,2019-04-20 7:37,29.07,209655000000
West Angela,2019-04-18 12:07,16.18,5770100000000
Justinberg,2019-03-10 9:19,37.89,5563130000000
Valentineton,2019-01-10 17:29,19.91,774511000000
Williamsview,2019-04-07 0:32,18.92,23948941587
South Jack,2019-01-31 2:51,21.75,6971160000000
Port Frank,2019-02-18 18:49,39.06,7301850000000
Leahton,2019-02-13 11:40,16.79,4744790000000
South Michelleport,2019-02-22 7:44,22.52,8522740000000
South Karenland,2019-04-25 14:44,24.86,1307710000000
Richardfort,2019-02-16 13:52,17.92,820639000000
Williamsstad,2019-04-16 23:07,23.12,969458000000
South Michelleport,2019-02-12 7:41,27.7,5582880000000
West Patrickchester,2019-04-13 19:49,33.33,1834060000000
Martinezhaven,2019-04-18 18:37,5.81,2124250000000
North Jason,2019-01-23 22:51,21.95,6701800000000
North Jason,2019-04-18 12:19,22.42,4927790000000
Lake Scottton,2019-05-03 22:33,9.01,1289760000000
West Christopherberg,2019-03-01 21:33,11.97,6422550000000
North Markport,2019-04-10 22:15,38.02,8834530000000
Christopherfurt,2019-04-09 0:32,29.96,9825840000000
North Madeline,2019-01-29 16:12,17.57,2596460000000
Richardfort,2019-02-01 20:18,10.26,9554940000000
South Phillip,2019-01-25 5:04,38.15,3599160000000
East Kaylahaven,2019-02-11 0:24,43.19,8671040000000
Rodneyfort,2019-04-11 2:57,36.3,9048910000000
Pattyland,2019-04-26 8:31,19.99,8827780000000
South Karenland,2019-03-24 23:37,41.44,604857000000
Port David,2019-03-24 21:58,28.84,5266780000000
Rodneyfort,2019-03-10 5:23,29.13,4634910000000
New Paulton,2019-02-02 16:37,17.19,8500430000000
Williamsstad,2019-03-12 1:39,18.67,2161830000000
South Michelleport,2019-01-29 20:40,9.79,5529060000000
West Christopherberg,2019-03-21 2:57,21.41,7703400000000
Lake Scottton,2019-03-25 21:46,36.92,7043640000000
Port Angela,2019-03-19 12:32,17.21,1694210000000
Christopherfurt,2019-04-17 22:12,32.39,653652000000
Joneschester,2019-02-27 8:19,33.34,2386090000000
Loganberg,2019-01-25 1:59,26.03,9123750000000
South Phillip,2019-02-19 13:19,33.07,8518160000000
Deanville,2019-01-23 13:00,42.45,7286210000000
New Kimberlyborough,2019-01-30 21:46,29.09,8587120000000
Port Johnbury,2019-04-11 10:26,9.1,7804750000000
West Patrickchester,2019-04-19 3:26,44.5,8638320000000
West Robert,2019-01-11 11:10,5.16,1592590000000
New Paulton,2019-03-28 3:35,14.94,3703490000000
South Latoya,2019-03-19 16:19,31.72,363818000000
Robertport,2019-02-18 15:01,43.47,7995690000000
Valentineton,2019-01-19 19:40,6.71,9052710000000
South Latoya,2019-01-18 20:09,10.98,7144190000000
Simpsonburgh,2019-01-12 4:35,24.83,3151660000000
West Patrickchester,2019-02-12 16:33,22.64,4553730000000
Richardfort,2019-04-17 2:26,23,720021000000
Hurleymouth,2019-02-20 10:47,17.07,7023700000000
Leahton,2019-01-27 8:09,29.36,2921810000000
West Anthony,2019-04-29 1:12,27.04,4375350000000
New Kimberlyborough,2019-01-05 9:33,39.47,2812690000000
South Latoya,2019-03-19 22:03,40.29,660213000000
Williamsstad,2019-04-12 12:30,17.57,7099680000000
South Karenland,2019-02-01 19:45,31.64,9377350000000
North Jason,2019-04-16 15:23,24.07,9726120000000
West Angela,2019-01-27 9:35,9.24,2623130000000
Lake Danielberg,2019-02-08 5:58,10.31,2464530000000
Port Samanthamouth,2019-04-06 13:42,24.18,8484620000000
New Jacobville,2019-02-09 2:25,37.51,5692070000000
New Kimberlyborough,2019-03-10 13:55,10.83,1558580000000
New Kimberlyborough,2019-01-08 18:59,13.34,626984000000
Karenberg,2019-03-05 1:38,44.1,9226780000000
South Phillip,2019-04-11 10:09,21.06,4832100000000
Loganberg,2019-01-20 1:34,38.66,7239150000000
Carriemouth,2019-05-01 4:53,10.97,8792110000000
West Patrickchester,2019-01-21 14:48,19.44,2088370000000
Martinezhaven,2019-02-07 21:45,4.31,9333330000000
Karenside,2019-01-08 8:49,22.64,2411620000000
North Jason,2019-03-24 7:40,32.72,7960290000000
Lake Danielberg,2019-03-28 9:56,28.53,9808250000000
Pattyland,2019-04-03 3:29,14.06,5399010000000
Pattyland,2019-02-21 17:53,7.06,5808460000000
Loganberg,2019-01-11 4:27,44.34,1376540000000
Leahton,2019-02-28 13:10,9.08,8197500000000
Reynoldsfurt,2019-01-17 21:35,24.84,5000180000000
Raymondhaven,2019-02-22 23:54,7.64,7311720000000
South Latoya,2019-02-12 22:59,5.54,839760000000
Lake Scottton,2019-01-18 2:32,31.92,5706290000000
Port David,2019-02-24 22:20,35.63,3354530000000
Roberthaven,2019-04-05 14:01,31.09,1016220000000
Rogerston,2019-03-24 2:56,39.6,9196190000000
Karenberg,2019-04-27 14:57,44.73,3800720000000
Martinezhaven,2019-04-14 16:26,32.57,971302000000
South Evanton,2019-01-20 23:10,25.94,3431710000000
North Jasmine,2019-04-26 12:08,35.33,6857330000000
Hurleymouth,2019-01-12 1:19,10.64,8125600000000
West Robert,2019-03-07 15:57,12.22,2705600000000
Deanville,2019-04-21 23:32,33.37,7763080000000
South Michelleport,2019-01-09 1:48,10.68,3236910000000
Royland,2019-02-02 12:51,42.52,7835420000000
Rodneyfort,2019-04-10 23:38,25.4,9060370000000
North Madeline,2019-01-12 9:42,20.82,8114790000000
Lake Danielberg,2019-04-28 4:00,39.82,7889100000000
Port Johnbury,2019-05-02 12:46,42.42,3245380000000
Richardfort,2019-04-21 3:44,9.54,3698150000000
Liumouth,2019-03-22 4:06,33.1,3678560000000
Roberthaven,2019-01-21 19:25,23.14,4939140000000
Amandaburgh,2019-01-21 4:12,9.26,5528430000000
South Evanton,2019-04-25 0:37,26.84,1539240000000
Port Samanthamouth,2019-03-25 13:20,34.94,821747000000
South Michelleport,2019-03-13 4:21,10.44,5684860000000
North Madeline,2019-01-14 3:43,31.88,8713000000000
Hurleymouth,2019-03-17 6:50,29.95,5225180000000
Port David,2019-04-10 14:27,26.68,5361390000000
Pattyland,2019-02-10 2:55,24.39,7264850000000
Liumouth,2019-03-17 19:21,19.05,9118270000000
Robertport,2019-04-03 1:20,15.14,6669720000000
Hurleymouth,2019-04-01 6:26,9.94,4063430000000
West Samuelburgh,2019-04-17 11:25,15.03,4021530000000
South Phillip,2019-03-18 4:11,17.57,8431000000000
West Josephberg,2019-01-29 2:13,7.58,6142970000000
Roberthaven,2019-02-16 10:23,14.95,6653680000000
West Christopherberg,2019-03-27 23:57,21.55,2201810000000
Christopherfurt,2019-03-30 13:15,31.3,7457130000000
Hurleymouth,2019-02-01 3:23,22.39,6071730000000
Port Frank,2019-03-16 20:54,30.24,1454210000000
Lake Danielberg,2019-01-16 11:59,20.07,8448610000000
West Ericstad,2019-03-28 13:29,22.28,3135270000000
Karenside,2019-03-11 16:18,44.29,3269160000000
South Evanton,2019-03-17 0:31,36.31,2783520000000
West Heidi,2019-05-05 15:47,37.75,3646770000000
Robertport,2019-02-28 22:50,13.39,681044000000
South Jack,2019-01-05 11:31,13.14,6809750000000
West Josephberg,2019-02-28 18:19,11.1,3529530000000
Port Frank,2019-03-26 19:09,28.83,889805000000
Barajasview,2019-02-19 2:25,26.83,937248000000
Justinberg,2019-01-03 22:50,5.81,9261160000000
North Barbara,2019-04-17 2:49,39.18,3503290000000
West Angela,2019-03-08 13:24,4.92,5445150000000
South Latoya,2019-03-19 7:54,30.03,9560330000000
Hurleymouth,2019-01-18 10:59,4.66,8622880000000
Johnton,2019-04-05 7:12,22.87,1030620000000
Carriemouth,2019-03-27 2:11,38.69,4407120000000
Reynoldsfurt,2019-04-19 0:56,13.63,7990080000000
Christopherfurt,2019-03-16 19:46,19.61,2290370000000
Liumouth,2019-04-28 0:26,5.42,8026920000000
New Kimberlyborough,2019-03-19 7:17,15.78,6414960000000
Martinezhaven,2019-03-07 12:26,23.55,7385330000000
East Kaylahaven,2019-04-06 16:17,35.79,8930600000000
Simpsonburgh,2019-04-26 9:31,33.71,2597480000000
Lake Jonathanshire,2019-01-28 0:07,5.67,9756570000000
Robertport,2019-04-19 19:45,39.57,3970340000000
South Karenland,2019-03-20 10:34,33.24,3097270000000
Raymondhaven,2019-03-07 20:59,17.66,9257560000000
Port David,2019-02-18 14:47,20.16,1847430000000
Royland,2019-02-20 19:14,38.28,3616650000000
East Kaylahaven,2019-01-29 7:28,41.62,7157220000000
Valentineton,2019-02-23 11:46,19.99,9658410000000
